hike_id,Parking Issues,Rocky Conditions,Snow/Icy Conditions,Lake/Waterfall/Pond,Easy Difficulty,Hard Difficulty,Bring Bug Spray,Family Friendly,Well Maintained
hike_10039,1.0,1.0,0.1,11.0,7.0,2.8,3.0,4.699999999999999,7.3
hike_1004,95.5,95.0,45.7,87.0,48.0,121.39999999999995,24.400000000000006,72.3,32.3
hike_10040,2.0,0.0,1.0,3.0,3.0,0.9999999999999999,0.1,5.6,1.0
hike_10041,1.0,5.0,2.0,9.0,12.0,1.7,4.1,6.399999999999999,12.6
hike_10042,0.0,3.0,1.0,7.0,6.0,4.0,4.1,7.1,1.0
hike_10043,6.0,16.0,6.0,0.0,3.0,6.299999999999999,2.0,12.199999999999996,7.199999999999999
hike_10044,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.7000000000000001,1.0
hike_10045,0.0,1.0,1.0,4.0,8.0,1.1,2.0,6.499999999999999,9.8
hike_10046,1.0,0.0,1.0,0.0,2.0,0.1,0.0,4.5,1.0
hike_10047,5.0,5.0,0.0,0.0,8.0,3.6,6.0,9.600000000000001,9.0
hike_10048,4.0,5.0,2.1,8.0,8.0,3.1,7.0,14.099999999999996,17.3
hike_10049,2.0,0.0,0.0,1.0,13.0,1.2999999999999998,1.0,10.5,5.0
hike_1005,80.5,50.0,49.400000000000006,21.0,74.0,105.8,25.799999999999997,116.10000000000001,15.600000000000001
hike_10050,1.0,0.0,0.0,2.0,5.0,6.1000000000000005,2.0,6.9,1.3
hike_10051,1.0,11.0,1.0,4.0,7.0,5.6,5.0,3.4000000000000004,9.3
hike_10052,1.0,1.0,3.0,6.0,5.0,1.9,2.0,10.3,1.0
hike_10053,0.0,8.0,1.1,7.0,4.0,5.8,2.0,8.4,5.0
hike_10054,1.0,0.0,1.0,6.0,5.0,7.6,2.0,5.9,9.0
hike_10055,0.0,0.0,0.0,0.0,4.0,3.0,0.0,5.699999999999999,6.0
hike_10056,3.0,8.0,2.0,4.0,7.0,5.3,3.0,4.4,4.0
hike_10057,2.0,0.0,2.0,2.0,2.0,2.5,0.0,7.099999999999999,1.0
hike_10058,1.0,0.0,1.0,1.0,3.0,0.0,2.0,1.5000000000000002,1.0
hike_10059,3.0,3.0,1.0,3.0,4.0,4.0,0.0,2.4,4.3
hike_1006,38.2,103.0,13.2,7.0,29.0,99.69999999999993,22.9,37.300000000000004,5.3
hike_10060,1.0,3.0,1.0,4.0,9.0,3.0000000000000004,1.0,11.1,6.3
hike_10061,1.0,4.0,1.0,4.0,2.0,2.5000000000000004,0.0,3.9999999999999996,2.0
hike_10062,3.0,0.0,0.0,0.0,2.0,0.7999999999999999,1.0,3.6000000000000005,0.0
hike_10063,3.0,1.0,2.0,6.0,7.0,1.1,3.0,4.1000000000000005,10.0
hike_10064,2.0,6.0,1.0,3.0,0.0,1.4000000000000001,0.0,3.4,1.0
hike_10065,2.0,5.0,1.0,1.0,1.0,1.4,3.0,4.9,2.0
hike_10066,1.0,5.0,1.1,0.0,2.0,2.5,2.0,6.3999999999999995,0.0
hike_10067,3.0,1.0,1.0,0.0,8.0,3.2,2.1,6.1000000000000005,0.3
hike_10068,1.0,2.0,0.0,1.0,6.0,2.3,3.1,4.7,9.0
hike_10069,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.0
hike_1007,93.0,35.0,37.00000000000001,110.0,62.0,123.89999999999992,20.6,74.99999999999999,13.100000000000001
hike_10070,1.0,0.0,0.0,0.0,3.0,1.6,0.0,2.6,1.0
hike_10071,0.0,1.0,0.0,0.0,12.0,1.4,1.5,1.8,1.0
hike_10072,1.0,1.0,0.0,5.0,3.0,1.1,0.0,4.1,1.3
hike_10073,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2,0.0
hike_10074,4.0,12.0,1.0,0.0,4.0,4.3,0.0,5.0,0.0
hike_10075,4.0,2.0,0.0,0.0,11.0,2.1,0.0,2.8000000000000003,8.0
hike_10076,1.0,2.0,0.0,3.0,3.0,1.2000000000000002,1.0,1.3,3.0
hike_10077,2.0,1.0,0.0,7.0,4.0,1.7000000000000002,2.0,2.5,3.0
hike_10078,0.0,7.0,0.0,7.0,4.0,3.7,1.0,2.9000000000000004,4.0
hike_10079,1.0,2.0,1.0,2.0,6.0,4.0,1.0,4.0,0.0
hike_1008,51.599999999999994,128.0,86.2,20.0,60.0,236.4,49.900000000000006,98.00000000000004,35.5
hike_10080,1.0,4.0,1.0,0.0,4.0,1.7000000000000004,0.9,5.4,3.3
hike_10081,0.0,1.0,0.0,3.0,5.0,1.5,1.0,1.9000000000000004,1.0
hike_10082,1.0,2.0,0.0,7.0,3.0,2.0,0.0,3.6,4.0
hike_10083,2.0,0.0,0.0,0.0,6.0,2.2,2.0,7.3,7.0
hike_10084,1.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,2.5,2.0
hike_10085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10086,0.0,2.0,0.0,1.0,3.0,2.3000000000000003,0.0,3.4,3.3
hike_10087,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.9000000000000001,0.0
hike_10088,4.0,1.0,0.0,0.0,11.0,4.5,0.0,2.0,4.3
hike_10089,2.0,0.0,0.0,1.0,3.0,1.4000000000000001,1.0,1.7999999999999998,3.0
hike_1009,66.0,91.1,15.0,1.0,50.0,86.99999999999999,13.2,52.20000000000002,17.8
hike_10090,1.0,0.0,0.0,0.0,4.0,0.0,2.0,2.5,0.0
hike_10091,0.0,1.0,0.0,1.0,4.0,0.6,0.0,1.3,1.3
hike_10092,0.0,0.0,0.0,1.0,2.0,2.6,2.0,0.4,1.0
hike_10093,0.0,4.0,0.0,3.0,3.0,1.4000000000000004,3.0,1.2,2.0
hike_10094,1.0,3.0,1.0,0.0,4.0,3.9000000000000004,1.0,7.4,7.6
hike_10095,0.0,0.0,1.0,0.0,9.0,0.4,0.1,4.7,2.3
hike_10096,0.0,0.0,1.0,4.0,6.0,1.2,2.0,4.0,2.0
hike_10097,0.0,2.0,0.0,2.0,3.0,1.2000000000000002,0.0,2.0,0.0
hike_10098,1.0,1.0,1.0,0.0,0.0,0.1,0.0,2.0,1.0
hike_10099,0.0,1.0,0.0,1.0,1.0,1.2,0.1,1.1,1.0
hike_101,0.0,0.0,1.0,7.0,3.0,7.1,7.799999999999999,9.2,5.6
hike_1010,55.1,57.0,13.1,8.0,57.0,93.09999999999997,16.1,44.700000000000024,44.3
hike_10100,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.6,0.0
hike_10101,1.0,1.0,3.0,7.0,3.0,1.9,1.0,1.9,1.0
hike_10102,1.0,4.0,0.0,1.0,5.0,1.5,2.0,3.7,3.0
hike_10103,2.0,0.0,0.0,3.0,1.0,0.1,1.0,1.8,0.3
hike_10104,1.0,0.0,0.0,1.0,2.0,1.1,0.0,1.4,0.0
hike_10105,1.0,1.0,0.0,0.0,7.0,0.5,0.0,2.8000000000000003,2.0
hike_10106,3.0,3.0,0.0,0.0,2.0,0.8999999999999999,0.0,1.9,2.0
hike_10107,2.0,6.0,0.0,5.0,7.0,1.6,2.0,3.1,2.0
hike_10108,1.0,0.0,0.0,0.0,6.0,0.2,0.0,1.2000000000000002,0.0
hike_10109,0.0,2.0,1.0,8.0,0.0,0.8,1.0,1.5,2.0
hike_1011,31.0,77.0,16.2,6.0,29.0,90.4,17.200000000000003,47.100000000000016,14.9
hike_10110,2.0,0.0,0.0,2.0,5.0,0.6,1.0,2.3,2.0
hike_10111,1.0,4.0,0.0,4.0,3.0,2.1,1.0,1.1,0.0
hike_10112,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0
hike_10113,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.30000000000000004,3.0
hike_10114,1.0,6.0,0.0,1.0,1.0,1.0,1.0,1.1,2.3
hike_10115,0.0,1.0,0.0,4.0,0.0,1.7,0.0,2.2,0.0
hike_10116,0.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0
hike_10117,2.0,0.0,0.0,0.0,2.0,1.7,0.0,2.1,2.0
hike_10118,1.0,0.0,0.0,1.0,4.0,0.6,1.0,2.4,0.0
hike_10119,1.0,1.0,1.0,2.0,3.0,2.7,0.0,3.8,3.0
hike_1012,57.800000000000004,96.0,53.80000000000001,1.0,38.0,82.70000000000002,22.1,54.90000000000001,14.3
hike_10120,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.6,2.0
hike_10121,1.0,1.0,1.0,1.0,0.0,0.9,0.0,2.0,0.0
hike_10122,1.0,2.0,1.0,2.0,3.0,0.7999999999999999,0.0,2.3,2.0
hike_10123,2.0,0.0,0.0,6.0,1.0,1.2,1.0,0.5,2.6
hike_10124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hike_10125,1.0,2.0,0.0,4.0,0.0,0.8,0.0,1.1,2.0
hike_10126,0.0,1.0,1.0,3.0,3.0,0.4,0.0,0.30000000000000004,2.0
hike_10127,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.30000000000000004,1.0
hike_10128,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
hike_10129,1.0,0.0,0.0,4.0,3.0,0.1,1.0,2.3,3.0
hike_1013,28.0,8.3,11.2,64.0,20.0,45.00000000000002,7.8999999999999995,50.99999999999999,19.3
hike_10130,1.0,12.0,0.0,0.0,2.0,2.0,0.1,2.8,0.0
hike_10131,1.0,0.0,0.1,2.0,1.0,0.0,1.0,2.6,0.0
hike_10132,2.0,3.0,1.0,1.0,3.0,1.5,3.0,4.2,2.0
hike_10133,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.1,2.0
hike_10134,0.0,4.0,0.0,8.0,1.0,2.0,1.0,5.199999999999999,0.0
hike_10135,1.0,1.0,0.0,3.0,1.0,1.1,0.0,1.4,3.0
hike_10136,2.0,0.0,4.0,0.0,7.0,2.4999999999999996,1.0,8.0,5.6
hike_10137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10138,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.5,0.0
hike_10139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_1014,29.0,108.1,66.3,33.0,40.0,137.4,26.5,66.70000000000002,18.1
hike_10140,1.0,0.0,0.0,0.0,1.0,0.1,0.0,0.6,0.0
hike_10141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10142,3.0,0.0,0.0,0.0,4.0,1.9000000000000001,1.0,2.3000000000000003,3.0
hike_10143,1.0,0.0,0.0,0.0,1.0,0.9,3.0,1.9,2.0
hike_10144,0.0,2.0,0.0,2.0,2.0,2.0,3.0,0.1,2.0
hike_10145,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3
hike_10146,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.9,0.0
hike_10147,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7000000000000001,1.0
hike_10148,2.0,2.0,0.0,0.0,2.0,0.3,1.0,0.0,1.0
hike_10149,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
hike_1015,33.0,67.0,30.2,55.0,43.0,113.79999999999994,37.5,49.300000000000004,29.500000000000004
hike_10150,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.8999999999999999,1.0
hike_10151,2.0,0.0,0.0,0.0,3.0,2.1,6.9,1.4000000000000001,1.0
hike_10152,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.7,1.0
hike_10153,0.0,0.0,0.0,1.0,5.0,0.1,0.0,0.30000000000000004,0.0
hike_10154,2.0,0.0,0.0,0.0,0.0,0.1,0.0,0.30000000000000004,0.0
hike_10155,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.2,0.0
hike_10156,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.6,2.0
hike_10157,2.0,4.0,0.0,3.0,3.0,1.1,0.0,0.8,0.0
hike_10158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
hike_10159,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.4,0.0
hike_1016,43.0,114.0,16.6,26.0,38.0,73.4,18.1,48.10000000000002,22.5
hike_10160,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hike_10161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0
hike_10162,0.0,8.0,0.0,0.0,0.0,0.4,0.0,1.3000000000000003,0.0
hike_10163,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
hike_10164,1.0,2.0,0.0,0.0,3.0,0.5,2.1,3.3,10.0
hike_10165,1.0,1.0,0.0,0.0,1.0,0.9,0.0,1.7000000000000002,1.0
hike_10166,1.0,1.0,0.0,0.0,3.0,3.1,1.0,0.4,0.0
hike_10167,0.0,0.0,0.0,1.0,1.0,1.2,0.0,1.3,0.4
hike_10168,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10169,0.0,0.0,0.0,0.0,1.0,0.3,2.0,0.2,0.0
hike_1017,30.1,65.0,28.000000000000007,7.0,32.0,85.2,31.3,40.7,13.0
hike_10170,1.0,0.0,0.0,1.0,3.0,1.4,0.0,2.3000000000000003,1.0
hike_10171,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hike_10172,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.1,0.0
hike_10173,1.0,0.0,0.0,1.0,1.0,2.0,0.0,3.2,2.0
hike_10174,1.0,0.0,0.0,0.0,2.0,0.6,1.0,1.1,1.0
hike_10175,0.0,0.0,0.0,0.0,1.0,1.1,0.0,0.1,1.0
hike_10176,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hike_10177,0.0,0.0,0.0,0.0,3.0,0.1,0.0,0.0,1.0
hike_10178,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hike_10179,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hike_1018,44.0,84.0,12.2,20.0,48.0,82.99999999999999,10.5,43.6,15.800000000000004
hike_10180,1.0,0.0,0.0,0.0,1.0,0.2,1.0,1.1,1.3
hike_10181,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0
hike_10182,0.0,0.0,0.0,0.0,3.0,1.9,1.0,3.8,1.3
hike_10183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10184,2.0,0.0,0.0,0.0,0.0,1.3,0.0,0.7,1.0
hike_10185,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1,0.0
hike_10186,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0
hike_10187,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hike_10188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
hike_10189,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
hike_1019,9.0,42.0,19.8,9.0,20.0,57.500000000000014,7.1,23.000000000000004,8.0
hike_10190,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.1,1.0
hike_10191,0.0,0.0,0.0,3.0,1.0,0.1,0.0,0.2,0.0
hike_10192,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.3
hike_10193,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.4,0.0
hike_10194,1.0,0.0,0.0,1.0,1.0,0.1,0.0,0.1,0.0
hike_10195,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.5,2.0
hike_10196,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.6,1.0
hike_10197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hike_10198,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
hike_10199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
hike_102,2.0,13.0,0.0,10.0,10.0,1.5,0.0,3.8,2.0
hike_1020,31.2,71.0,15.2,49.0,19.0,38.300000000000004,10.799999999999999,35.7,9.3
hike_10200,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0
hike_10201,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
hike_10202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0
hike_10204,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
hike_10205,1.0,0.0,0.0,1.0,0.0,1.1,0.0,0.30000000000000004,0.0
hike_10206,1.0,0.0,0.0,3.0,2.0,1.4,1.3,0.1,0.0
hike_10207,0.0,0.0,0.0,1.0,1.0,0.1,0.0,0.5,0.0
hike_10209,0.0,1.0,0.2,0.0,0.0,1.0,0.0,1.0,0.0
hike_1021,47.0,55.0,49.60000000000001,1.0,28.0,104.89999999999996,16.9,50.10000000000001,15.3
hike_10210,0.0,0.0,0.0,2.0,0.0,2.4,0.1,1.4000000000000001,0.0
hike_10211,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
hike_10212,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0
hike_10213,0.0,0.0,0.0,0.0,2.0,2.8,0.0,0.4,0.0
hike_10214,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.4,0.0
hike_10215,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
hike_10216,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7999999999999999,0.0
hike_10217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
hike_1022,36.0,76.1,31.400000000000002,42.0,58.0,65.50000000000006,20.0,61.900000000000034,11.900000000000002
hike_10220,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.6,0.0
hike_10221,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0
hike_10222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10223,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0
hike_10224,0.0,1.0,0.0,0.0,3.0,1.1,0.0,1.0,3.0
hike_10225,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
hike_10226,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0
hike_10227,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.7,0.0
hike_10229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0
hike_1023,69.0,51.0,33.5,85.0,64.0,40.60000000000001,13.0,49.80000000000002,16.0
hike_10230,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hike_10231,1.0,0.0,0.0,0.0,1.0,0.7,0.0,0.2,2.0
hike_10232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10233,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.0
hike_10234,0.0,0.0,1.0,2.0,3.0,0.1,0.0,0.2,0.3
hike_10235,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,0.0
hike_10236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hike_10238,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hike_10239,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.6,0.0
hike_1024,13.1,17.0,14.1,11.0,12.0,31.100000000000005,5.199999999999999,13.600000000000001,9.3
hike_10240,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0
hike_10241,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0
hike_10242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10245,1.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0
hike_10247,0.0,0.0,0.0,0.0,1.0,1.3,0.0,0.6,0.0
hike_10249,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7,0.0
hike_1025,15.2,25.0,12.1,35.0,14.0,45.10000000000002,10.2,18.999999999999996,7.3
hike_10250,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
hike_10252,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.2,1.0
hike_10253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_10254,4.0,1.0,0.0,0.0,3.0,2.0,0.0,0.5,1.0
hike_10255,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.4,2.0
hike_10256,0.0,1.0,0.0,1.0,4.0,1.8,0.0,3.6,0.0
hike_10257,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
hike_10258,0.0,1.0,0.0,0.0,3.0,1.0,0.0,3.6,2.0
hike_10259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hike_1026,22.4,50.0,26.4,25.0,27.0,72.10000000000001,14.6,34.600000000000016,15.3
hike_1027,18.0,72.1,15.299999999999999,17.0,45.0,32.2,11.299999999999999,49.40000000000002,6.8999999999999995
hike_1028,18.0,37.0,28.500000000000007,110.0,63.0,63.300000000000004,19.3,40.70000000000001,18.6
hike_1029,77.4,67.0,18.200000000000003,85.0,76.0,64.60000000000002,26.8,59.90000000000002,24.200000000000003
hike_103,5.0,0.0,1.0,2.0,9.0,3.0,1.0,8.2,2.0
hike_1030,13.0,5.0,4.1,45.0,36.0,23.800000000000008,16.9,36.500000000000014,17.200000000000003
hike_1031,18.0,12.0,9.4,66.0,96.0,16.299999999999994,1.1,27.9,7.0
hike_1032,28.0,44.0,28.1,7.0,43.0,115.09999999999998,18.1,35.70000000000001,8.6
hike_1033,23.0,9.0,11.2,60.0,58.0,11.299999999999997,3.0,35.2,12.0
hike_1034,15.0,60.0,41.599999999999994,0.0,27.0,51.000000000000014,21.200000000000003,22.6,12.3
hike_1035,15.0,4.0,4.0,23.0,10.0,18.9,1.5,14.299999999999994,5.0
hike_1036,21.2,100.1,30.5,130.0,32.0,101.8,25.1,61.60000000000004,10.3
hike_1037,16.0,86.0,30.3,15.0,24.0,75.70000000000002,16.1,34.60000000000001,8.6
hike_1038,25.0,39.0,22.2,43.0,40.0,67.0,22.800000000000004,38.60000000000001,19.3
hike_1039,21.1,28.0,5.8,2.0,17.0,47.6,9.1,19.299999999999997,11.9
hike_104,0.0,5.0,3.0,7.0,14.0,3.0999999999999996,0.0,13.399999999999999,3.0
hike_1040,24.0,26.0,8.3,45.0,26.0,55.00000000000001,19.1,29.999999999999996,11.2
hike_1041,8.0,39.0,34.5,7.0,47.0,80.7,17.7,35.80000000000001,12.600000000000001
hike_1042,7.0,44.0,20.1,27.0,79.0,48.400000000000006,32.1,38.100000000000016,18.400000000000002
hike_1043,18.1,77.0,35.9,6.0,42.0,82.39999999999999,22.5,49.10000000000001,10.899999999999999
hike_1044,9.0,38.0,23.1,22.0,27.0,47.70000000000002,13.2,50.300000000000026,20.0
hike_1045,9.0,24.0,5.0,3.0,5.0,31.800000000000004,5.199999999999999,19.4,3.0
hike_1046,27.0,15.1,14.899999999999999,82.0,37.0,47.19999999999999,14.299999999999999,52.70000000000001,39.49999999999998
hike_1047,26.0,22.0,3.0,0.0,21.0,46.10000000000001,10.1,18.7,10.0
hike_1048,16.299999999999997,79.0,39.2,25.0,41.0,102.29999999999998,15.499999999999998,45.40000000000002,6.3
hike_1049,18.0,13.0,3.2,7.0,22.0,34.70000000000001,5.1,15.6,8.0
