hike_id,Bring Bug Spray,Easy Difficulty,Family Friendly,Hard Difficulty,Lake/Waterfall/Pond,Parking Issues,Rocky Conditions,Snow/Icy Conditions,Well Maintained
hike_82,0,1,1,0,0,0,0,0,1
hike_83,0,1,0,1,0,0,0,0,1
hike_84,0,0,0,1,1,0,1,0,0
hike_73,0,1,1,0,0,0,1,0,0
hike_76,0,1,1,0,0,0,0,0,1
hike_1007,0,0,0,1,1,1,0,0,0
hike_1097,0,1,0,1,1,0,0,0,0
hike_93,0,0,1,0,1,0,1,0,0
hike_95,0,1,1,1,0,0,0,0,0
hike_96,0,1,0,1,0,0,1,0,0
hike_587,0,1,1,0,1,0,0,0,0
hike_685,0,0,1,1,0,0,1,0,0
hike_995,0,1,1,0,0,0,0,0,1
hike_91,0,0,0,1,0,1,1,0,0
hike_94,0,1,0,0,0,1,1,0,0
hike_90,0,0,1,0,1,0,0,0,1
hike_92,0,1,1,0,0,1,0,0,0
hike_1008,0,0,1,1,0,0,1,0,0
hike_2456,0,0,0,0,1,0,1,0,1
hike_101,1,0,1,1,0,0,0,0,0
hike_102,0,1,0,0,1,0,1,0,0
hike_103,0,1,1,0,0,1,0,0,0
hike_104,0,1,1,0,1,0,0,0,0
hike_105,0,1,0,0,1,1,0,0,0
hike_107,0,1,1,1,0,0,0,0,0
hike_108,0,0,1,1,0,0,1,0,0
hike_330,0,1,0,0,0,0,1,0,1
hike_798,0,0,1,0,1,0,0,0,1
hike_100,0,1,1,0,0,0,0,0,1
hike_1009,0,0,0,1,0,1,1,0,0
hike_112,0,0,1,1,0,0,1,0,0
hike_113,0,1,0,1,0,0,1,0,0
hike_115,0,1,1,0,0,0,0,0,1
hike_116,0,1,0,1,1,0,0,0,0
hike_117,1,0,1,1,0,0,0,0,0
hike_118,0,1,1,1,0,0,0,0,0
hike_119,0,0,1,1,1,0,0,0,0
hike_120,0,0,1,1,0,0,1,0,0
hike_110,0,1,1,1,0,0,0,0,0
hike_111,0,0,1,1,0,0,1,0,0
hike_1010,0,1,0,1,0,0,1,0,0
hike_1204,0,1,0,0,0,1,1,0,0
hike_126,0,1,1,0,1,0,0,0,0
hike_127,0,1,0,1,1,0,0,0,0
hike_128,0,1,1,0,0,1,0,0,0
hike_130,0,0,0,1,1,0,1,0,0
hike_131,0,1,1,1,0,0,0,0,0
hike_132,1,1,1,0,0,0,0,0,0
hike_133,0,1,0,0,0,1,1,0,0
hike_122,0,1,1,0,0,0,1,0,0
hike_123,0,1,1,0,0,0,0,0,1
hike_129,0,1,1,1,0,0,0,0,0
hike_1011,0,0,1,1,0,0,1,0,0
hike_137,0,1,0,1,0,1,0,0,0
hike_138,0,0,0,0,1,1,1,0,0
hike_139,0,1,0,1,0,0,1,0,0
hike_140,0,1,0,1,0,0,1,0,0
hike_141,0,1,1,0,0,0,0,0,1
hike_143,0,0,0,1,1,1,0,0,0
hike_144,0,1,0,0,1,0,1,0,0
hike_145,0,1,0,1,1,0,0,0,0
hike_799,0,1,1,0,0,0,0,0,1
hike_136,0,1,1,0,0,1,0,0,0
hike_1012,0,0,0,1,0,1,1,0,0
hike_1341,0,1,1,0,0,0,1,0,0
hike_149,0,1,0,0,1,0,0,0,1
hike_150,0,1,1,0,0,0,0,0,1
hike_151,1,1,0,1,0,0,0,0,0
hike_153,0,0,0,1,1,0,1,0,0
hike_154,0,1,1,0,1,0,0,0,0
hike_155,1,1,0,1,0,0,0,0,0
hike_156,0,0,0,1,1,0,1,0,0
hike_157,0,1,1,1,0,0,0,0,0
hike_158,0,1,1,1,0,0,0,0,0
hike_148,0,0,1,1,0,0,1,0,0
hike_1013,0,0,1,1,1,0,0,0,0
hike_1404,0,1,1,1,0,0,0,0,0
hike_163,0,1,1,0,0,0,0,0,1
hike_164,0,0,1,1,0,0,1,0,0
hike_165,0,0,0,1,0,0,1,0,1
hike_166,0,1,1,0,0,0,1,0,0
hike_167,0,1,0,0,0,1,0,0,1
hike_168,0,0,0,1,1,0,1,0,0
hike_169,0,0,1,1,0,0,0,0,1
hike_171,0,1,0,1,0,0,0,0,1
hike_160,0,1,1,0,0,1,0,0,0
hike_161,0,1,0,1,0,0,1,0,0
hike_1014,0,0,1,1,0,0,1,0,0
hike_175,0,1,1,0,0,0,0,0,1
hike_176,0,0,0,0,1,0,1,0,1
hike_177,0,0,1,0,1,0,0,0,1
hike_179,0,1,1,0,1,0,0,0,0
hike_180,0,1,1,0,0,0,0,0,1
hike_181,0,1,1,1,0,0,0,0,0
hike_182,0,1,0,0,1,1,0,0,0
hike_183,0,1,0,1,0,0,1,0,0
hike_184,0,1,0,1,1,0,0,0,0
hike_800,0,1,1,0,0,0,0,0,1
hike_174,0,0,1,0,1,1,0,0,0
hike_1015,0,0,0,1,1,0,1,0,0
hike_188,0,1,0,0,0,0,1,0,1
hike_189,1,0,1,0,0,0,1,0,0
hike_190,0,0,1,1,0,0,1,0,0
hike_191,0,1,1,0,1,0,0,0,0
hike_192,0,1,1,0,0,0,0,0,1
hike_194,0,1,0,1,0,0,0,0,1
hike_195,0,1,0,0,1,0,1,0,0
hike_196,0,1,0,0,1,0,1,0,0
hike_186,0,0,0,1,0,1,1,0,0
hike_187,0,0,0,1,0,1,0,0,1
hike_1016,0,0,1,1,0,0,1,0,0
hike_1098,0,0,0,1,1,1,0,0,0
hike_200,0,0,1,1,0,0,0,0,1
hike_202,0,1,0,0,0,1,1,0,0
hike_203,0,1,1,1,0,0,0,0,0
hike_204,0,1,1,0,0,1,0,0,0
hike_205,0,1,1,1,0,0,0,0,0
hike_207,0,1,1,0,0,1,0,0,0
hike_208,0,0,0,1,0,0,1,0,1
hike_275,0,1,1,0,0,0,0,0,1
hike_315,0,0,0,1,1,0,0,0,1
hike_199,0,1,0,1,0,0,1,0,0
hike_1017,0,0,1,1,0,0,1,0,0
hike_213,0,0,1,0,0,0,1,0,1
hike_12,0,0,1,1,0,0,1,0,0
hike_16,0,0,0,1,1,0,1,0,0
hike_24,0,1,0,0,1,0,1,0,0
hike_27,0,1,1,0,0,0,0,0,1
hike_35,0,0,0,1,1,0,1,0,0
hike_36,0,1,0,1,0,0,1,0,0
hike_210,0,0,0,1,1,0,1,0,0
hike_212,0,1,1,1,0,0,0,0,0
hike_5,0,0,0,0,1,1,1,0,0
hike_1018,0,1,0,1,0,0,1,0,0
hike_1099,0,1,1,1,0,0,0,0,0
hike_59,0,0,1,1,0,0,1,0,0
hike_64,0,1,1,0,1,0,0,0,0
hike_72,0,1,1,0,0,1,0,0,0
hike_74,0,0,0,0,1,1,1,0,0
hike_85,0,0,1,1,0,0,1,0,0
hike_86,0,0,0,1,0,1,1,0,0
hike_87,1,1,1,0,0,0,0,0,0
hike_329,0,1,1,1,0,0,0,0,0
hike_48,0,1,1,0,0,0,0,0,1
hike_1019,0,0,1,1,0,0,1,0,0
hike_97,0,1,1,1,0,0,0,0,0
hike_106,0,1,1,0,1,0,0,0,0
hike_109,0,1,1,0,0,0,0,0,1
hike_114,0,1,1,0,1,0,0,0,0
hike_121,0,0,1,1,0,0,1,0,0
hike_124,0,1,0,1,0,0,1,0,0
hike_134,0,1,1,0,0,1,0,0,0
hike_142,1,0,1,1,0,0,0,0,0
hike_146,0,0,1,0,0,1,0,0,1
hike_89,0,0,0,0,1,1,1,0,0
hike_1020,0,0,0,1,1,0,1,0,0
hike_1424,0,1,1,1,0,0,0,0,0
hike_162,0,0,1,0,1,0,1,0,0
hike_172,0,1,0,1,0,0,1,0,0
hike_178,0,0,0,1,0,0,1,0,1
hike_185,0,0,1,0,1,0,1,0,0
hike_193,0,1,0,1,0,1,0,0,0
hike_197,0,0,1,0,1,0,1,0,0
hike_206,1,1,1,0,0,0,0,0,0
hike_209,0,0,0,1,1,0,1,0,0
hike_159,0,1,1,0,0,0,0,0,1
hike_1021,0,0,1,1,0,0,1,0,0
hike_1366,0,1,1,1,0,0,0,0,0
hike_215,0,1,0,1,1,0,0,0,0
hike_216,0,1,0,0,1,0,1,0,0
hike_217,0,1,0,0,0,1,0,1,0
hike_218,0,0,1,1,0,0,1,0,0
hike_219,1,1,1,0,0,0,0,0,0
hike_220,0,0,0,1,0,1,1,0,0
hike_221,0,1,0,0,1,0,0,0,1
hike_223,1,1,0,0,0,1,0,0,0
hike_236,0,1,0,1,0,0,0,0,1
hike_214,0,1,1,0,0,0,1,0,0
hike_1022,0,0,1,1,0,0,1,0,0
hike_226,1,0,1,1,0,0,0,0,0
hike_227,0,1,0,0,1,0,0,0,1
hike_228,0,0,0,1,1,1,0,0,0
hike_229,0,1,1,0,1,0,0,0,0
hike_230,0,1,0,0,1,0,1,0,0
hike_231,0,1,1,0,0,0,0,0,1
hike_232,0,1,1,0,0,0,0,0,1
hike_234,0,1,0,0,1,0,1,0,0
hike_235,0,1,1,0,1,0,0,0,0
hike_225,0,0,0,1,0,0,1,0,1
hike_1023,0,1,0,0,1,1,0,0,0
hike_1218,0,0,0,1,1,0,1,0,0
hike_241,0,1,1,0,0,0,0,0,1
hike_242,0,0,0,1,1,0,1,0,0
hike_243,0,0,1,1,0,0,0,0,1
hike_244,0,0,1,1,0,0,0,1,0
hike_245,0,1,1,0,0,0,0,0,1
hike_246,0,0,1,1,0,0,1,0,0
hike_247,1,1,1,0,0,0,0,0,0
hike_248,0,0,1,1,0,0,0,0,1
hike_424,0,0,1,0,1,0,1,0,0
hike_238,0,0,1,1,1,0,0,0,0
hike_1024,0,0,0,1,0,0,1,1,0
hike_1262,0,1,0,1,0,1,0,0,0
hike_251,0,1,0,0,0,1,0,0,1
hike_252,0,1,0,1,0,0,1,0,0
hike_253,0,0,1,1,0,0,0,0,1
hike_254,0,1,0,0,0,0,1,0,1
hike_256,0,0,0,1,0,1,1,0,0
hike_257,0,0,0,0,1,1,1,0,0
hike_258,1,1,1,0,0,0,0,0,0
hike_259,0,0,1,1,0,1,0,0,0
hike_260,0,0,0,1,1,1,0,0,0
hike_261,0,1,0,0,1,0,1,0,0
hike_1025,0,0,0,1,1,0,1,0,0
hike_1100,0,1,1,0,1,0,0,0,0
hike_264,0,0,1,1,0,0,0,0,1
hike_267,0,1,1,0,0,0,1,0,0
hike_268,0,0,0,0,0,0,0,0,0
hike_269,0,1,0,0,1,0,0,0,1
hike_270,0,0,1,1,1,0,0,0,0
hike_271,0,1,0,1,0,0,0,0,1
hike_272,0,1,1,1,0,0,0,0,0
hike_273,0,1,0,1,0,0,1,0,0
hike_274,0,1,0,1,0,0,1,0,0
hike_265,0,1,0,1,1,0,0,0,0
hike_1101,0,1,1,0,1,0,0,0,0
hike_278,0,1,1,1,0,0,0,0,0
hike_279,0,1,1,0,0,0,0,0,1
hike_281,0,0,1,0,1,1,0,0,0
hike_282,0,1,0,0,1,1,0,0,0
hike_283,0,1,0,0,1,0,1,0,0
hike_284,0,0,1,1,1,0,0,0,0
hike_285,0,1,1,0,1,0,0,0,0
hike_286,0,0,0,1,0,1,1,0,0
hike_287,1,0,0,0,0,1,1,0,0
hike_288,0,1,0,1,0,0,0,0,1
hike_277,1,1,0,0,0,0,1,0,0
hike_1026,0,0,1,1,0,0,1,0,0
hike_1102,0,0,1,0,1,1,0,0,0
hike_1125,0,0,1,1,0,1,0,0,0
hike_1144,0,0,1,1,1,0,0,0,0
hike_1160,0,1,1,1,0,0,0,0,0
hike_1175,0,1,0,1,0,0,0,1,0
hike_290,0,1,0,1,1,0,0,0,0
hike_292,0,1,1,0,0,0,0,1,0
hike_293,0,0,0,1,1,1,0,0,0
hike_301,1,0,1,0,1,0,0,0,0
hike_801,0,0,1,0,1,0,0,0,1
hike_1027,0,1,1,0,0,0,1,0,0
hike_1103,0,1,1,1,0,0,0,0,0
hike_1126,0,1,1,1,0,0,0,0,0
hike_1145,0,0,0,1,0,1,1,0,0
hike_1161,0,0,1,1,1,0,0,0,0
hike_1176,0,0,1,1,0,0,1,0,0
hike_1190,0,1,1,1,0,0,0,0,0
hike_1205,0,1,1,0,1,0,0,0,0
hike_1219,0,0,1,1,0,0,0,0,1
hike_1230,0,0,0,1,0,1,1,0,0
hike_1458,0,1,1,0,0,1,0,0,0
hike_887,0,0,0,1,0,1,0,0,1
hike_1028,0,1,0,1,1,0,0,0,0
hike_1104,0,1,0,1,0,0,0,1,0
hike_1127,0,1,1,0,0,0,1,0,0
hike_1146,0,0,1,1,0,0,0,0,1
hike_1162,1,0,0,1,0,0,1,0,0
hike_1177,0,1,1,0,1,0,0,0,0
hike_1191,0,0,1,1,0,1,0,0,0
hike_1206,0,1,0,1,0,0,0,1,0
hike_1220,0,0,1,1,0,0,1,0,0
hike_1231,0,0,1,1,1,0,0,0,0
hike_1240,0,0,1,1,0,0,1,0,0
hike_1029,0,1,0,0,1,1,0,0,0
hike_1105,0,0,0,1,0,1,1,0,0
hike_1128,0,0,1,1,0,0,1,0,0
hike_1147,0,1,0,0,1,0,1,0,0
hike_1163,0,0,0,1,0,1,1,0,0
hike_1178,0,0,1,0,1,0,0,0,1
hike_1192,0,0,1,1,0,0,1,0,0
hike_1207,0,1,0,1,0,0,1,0,0
hike_1221,0,0,0,1,1,0,1,0,0
hike_1232,0,0,0,1,1,1,0,0,0
hike_888,0,1,1,0,0,0,0,0,1
hike_1030,0,1,1,0,1,0,0,0,0
hike_1106,0,0,1,1,1,0,0,0,0
hike_1129,0,0,0,1,0,0,1,1,0
hike_1148,0,0,1,1,1,0,0,0,0
hike_1164,0,1,0,1,1,0,0,0,0
hike_1179,0,0,0,1,1,0,1,0,0
hike_1193,1,0,0,1,0,0,0,0,1
hike_1208,0,0,1,1,0,0,1,0,0
hike_1222,0,1,0,0,1,0,1,0,0
hike_1233,0,1,0,1,0,0,1,0,0
hike_1241,0,1,1,0,1,0,0,0,0
hike_1031,0,1,1,0,1,0,0,0,0
hike_1107,0,1,1,1,0,0,0,0,0
hike_1130,0,1,1,1,0,0,0,0,0
hike_1149,0,0,1,1,0,1,0,0,0
hike_1165,0,1,1,0,1,0,0,0,0
hike_1180,0,0,0,0,1,1,1,0,0
hike_1194,0,0,1,1,1,0,0,0,0
hike_1209,0,0,1,1,0,0,1,0,0
hike_1223,0,1,1,1,0,0,0,0,0
hike_1234,0,1,0,1,1,0,0,0,0
hike_1382,0,1,1,0,0,0,1,0,0
hike_1032,0,1,0,1,0,0,1,0,0
hike_1108,0,0,0,1,1,0,1,0,0
hike_1131,0,1,1,1,0,0,0,0,0
hike_1150,0,1,0,1,0,0,1,0,0
hike_1166,0,1,1,0,0,0,1,0,0
hike_1181,0,0,0,0,1,1,1,0,0
hike_1195,0,0,1,1,0,0,1,0,0
hike_1210,1,0,1,1,0,0,0,0,0
hike_1224,0,1,1,0,0,1,0,0,0
hike_1235,0,0,0,1,1,0,1,0,0
hike_383,0,1,1,0,0,0,1,0,0
hike_1033,0,1,1,0,1,0,0,0,0
hike_1109,0,0,0,1,1,1,0,0,0
hike_1388,1,1,1,0,0,0,0,0,0
hike_391,0,1,1,0,0,0,0,0,1
hike_392,0,1,1,0,0,0,0,0,1
hike_394,0,1,1,0,0,1,0,0,0
hike_395,0,1,0,0,0,0,0,1,1
hike_396,0,1,1,0,1,0,0,0,0
hike_397,0,0,1,0,0,0,1,0,1
hike_904,0,0,0,0,0,0,0,0,0
hike_389,0,0,1,0,1,0,0,0,1
hike_390,0,0,1,1,0,0,0,0,1
hike_393,0,0,1,0,0,0,1,0,1
hike_1034,0,0,0,1,0,0,1,1,0
hike_1110,0,0,0,1,0,1,1,0,0
hike_400,0,0,1,0,1,0,0,0,1
hike_403,1,0,1,0,0,0,0,0,1
hike_404,0,1,1,0,0,0,0,0,1
hike_405,0,0,1,0,0,1,0,0,1
hike_406,0,1,0,1,0,0,1,0,0
hike_407,0,1,1,1,0,0,0,0,0
hike_408,0,0,1,1,0,0,0,0,1
hike_409,0,1,1,1,0,0,0,0,0
hike_410,0,1,0,0,1,0,1,0,0
hike_401,0,1,0,0,0,1,1,0,0
hike_1035,0,0,0,1,1,1,0,0,0
hike_413,0,1,1,0,0,0,0,0,1
hike_414,0,1,1,0,0,0,1,0,0
hike_415,1,0,0,0,0,1,0,0,1
hike_417,0,1,1,0,1,0,0,0,0
hike_418,1,0,1,0,0,0,0,0,1
hike_419,0,1,1,0,0,0,0,0,1
hike_420,0,1,1,1,0,0,0,0,0
hike_421,0,0,1,0,1,0,0,0,1
hike_422,0,0,1,1,0,0,0,0,1
hike_423,0,1,0,0,0,0,1,0,1
hike_412,0,1,0,1,1,0,0,0,0
hike_1036,0,0,0,1,1,0,1,0,0
hike_1236,0,1,1,0,1,0,0,0,0
hike_428,1,1,0,0,1,0,0,0,0
hike_430,0,0,1,1,0,0,0,0,1
hike_431,0,0,0,1,0,0,1,0,1
hike_432,0,0,1,1,0,0,0,0,1
hike_433,1,0,0,0,0,0,1,0,1
hike_434,0,1,1,0,0,0,0,0,1
hike_435,0,1,0,1,0,1,0,0,0
hike_437,0,1,1,1,0,0,0,0,0
hike_905,0,0,0,0,0,0,0,0,0
hike_426,0,1,0,1,0,0,1,0,0
hike_427,0,0,0,0,1,1,0,0,1
hike_1037,0,0,1,1,0,0,1,0,0
hike_1111,0,1,0,1,0,0,1,0,0
hike_1132,0,0,1,1,0,0,1,0,0
hike_5221,1,0,1,1,0,0,0,0,0
hike_441,0,1,0,1,0,0,0,0,1
hike_442,0,1,1,0,1,0,0,0,0
hike_443,0,0,0,1,0,1,1,0,0
hike_444,1,1,1,0,0,0,0,0,0
hike_446,0,1,1,0,0,0,1,0,0
hike_447,0,1,0,0,1,0,1,0,0
hike_490,0,1,0,1,1,0,0,0,0
hike_440,0,0,1,0,0,0,1,0,1
hike_1038,0,1,0,1,1,0,0,0,0
hike_1112,0,1,1,0,0,1,0,0,0
hike_1133,0,1,1,0,0,0,0,0,1
hike_1151,0,0,1,1,0,0,1,0,0
hike_1167,0,1,1,0,1,0,0,0,0
hike_1182,0,1,0,1,0,0,1,0,0
hike_459,0,0,1,0,1,0,0,0,1
hike_460,0,0,0,1,1,1,0,0,0
hike_461,0,0,1,0,0,1,1,0,0
hike_463,0,0,1,0,1,1,0,0,0
hike_453,1,0,0,0,0,1,0,0,1
hike_1039,0,0,0,1,0,1,1,0,0
hike_1113,0,0,1,1,1,0,0,0,0
hike_1134,0,1,1,0,0,0,0,0,1
hike_1152,0,1,0,1,1,0,0,0,0
hike_1168,0,0,1,0,1,1,0,0,0
hike_1183,0,1,0,1,0,0,1,0,0
hike_1196,0,1,1,0,1,0,0,0,0
hike_1211,0,0,1,0,1,0,1,0,0
hike_1225,0,1,0,0,1,0,1,0,0
hike_1237,0,1,1,0,0,0,1,0,0
hike_466,0,1,0,0,1,0,0,0,1
hike_1040,0,0,1,1,1,0,0,0,0
hike_1114,0,0,0,1,1,0,1,0,0
hike_1135,0,1,0,0,1,1,0,0,0
hike_1153,0,0,1,1,0,0,1,0,0
hike_1169,0,1,1,0,0,0,0,0,1
hike_1184,0,0,0,1,0,1,1,0,0
hike_1197,0,0,0,1,1,1,0,0,0
hike_1212,0,0,0,1,0,1,1,0,0
hike_1226,0,0,0,1,0,1,1,0,0
hike_1238,0,1,1,0,0,0,1,0,0
hike_1460,0,1,1,0,1,0,0,0,0
hike_478,0,0,1,1,1,0,0,0,0
hike_1041,0,1,0,1,0,0,1,0,0
hike_1115,0,1,0,1,0,0,1,0,0
hike_1136,0,1,0,1,1,0,0,0,0
hike_1154,0,1,0,1,0,0,1,0,0
hike_1170,0,1,0,1,1,0,0,0,0
hike_1185,0,0,1,1,0,0,1,0,0
hike_1198,0,1,1,0,0,1,0,0,0
hike_1213,0,1,1,0,1,0,0,0,0
hike_1227,0,1,0,1,1,0,0,0,0
hike_1461,0,1,1,1,0,0,0,0,0
hike_493,1,1,0,0,0,0,1,0,0
hike_496,0,1,1,0,0,0,1,0,0
hike_1042,0,1,0,1,0,0,1,0,0
hike_1116,0,1,0,0,1,1,0,0,0
hike_1137,0,0,1,1,0,0,1,0,0
hike_1155,0,1,0,1,0,0,1,0,0
hike_1171,0,1,1,1,0,0,0,0,0
hike_1186,0,1,0,1,0,0,1,0,0
hike_1199,0,0,1,1,0,0,1,0,0
hike_1214,0,1,1,1,0,0,0,0,0
hike_933,1,0,1,0,0,0,0,0,1
hike_506,0,0,1,1,0,0,1,0,0
hike_507,0,1,0,0,1,1,0,0,0
hike_1043,0,0,1,1,0,0,1,0,0
hike_1117,0,0,1,1,1,0,0,0,0
hike_1138,0,0,1,1,0,1,0,0,0
hike_1156,0,0,1,1,0,1,0,0,0
hike_1172,0,1,1,0,1,0,0,0,0
hike_1187,0,1,1,0,1,0,0,0,0
hike_1200,0,0,0,1,1,0,1,0,0
hike_1215,0,1,0,1,1,0,0,0,0
hike_1228,0,1,1,1,0,0,0,0,0
hike_1267,0,1,0,0,1,1,0,0,0
hike_520,0,1,1,0,0,0,0,0,1
hike_1044,0,0,1,1,0,0,1,0,0
hike_1118,0,1,0,1,0,0,1,0,0
hike_1139,0,0,0,1,0,1,1,0,0
hike_1614,0,1,0,1,0,0,0,0,1
hike_537,0,1,1,1,0,0,0,0,0
hike_538,1,0,0,1,1,0,0,0,0
hike_540,1,0,0,1,0,1,0,0,0
hike_541,1,0,1,0,0,0,0,0,1
hike_542,0,1,0,0,1,0,0,0,1
hike_543,1,0,1,0,0,0,0,0,1
hike_544,0,0,1,1,0,1,0,0,0
hike_545,0,1,0,0,0,0,1,0,1
hike_533,0,1,0,0,0,1,0,0,1
hike_1045,0,0,1,1,0,0,1,0,0
hike_1173,0,0,1,1,0,0,1,0,0
hike_548,0,1,1,1,0,0,0,0,0
hike_549,0,1,0,0,0,0,1,0,1
hike_552,1,1,1,0,0,0,0,0,0
hike_553,1,0,1,0,0,0,1,0,0
hike_554,1,1,0,0,0,0,0,0,1
hike_555,0,0,1,0,0,0,1,0,1
hike_556,0,1,0,1,0,0,0,0,1
hike_557,0,0,0,1,0,1,0,0,1
hike_558,1,0,0,0,0,0,1,0,1
hike_559,1,0,1,0,0,0,0,0,1
hike_547,0,1,1,1,0,0,0,0,0
hike_1046,0,0,1,1,1,0,0,0,0
hike_562,1,1,0,0,0,1,0,0,0
hike_564,0,0,1,0,0,1,0,0,1
hike_565,1,1,1,0,0,0,0,0,0
hike_566,0,1,1,0,1,0,0,0,0
hike_567,0,1,0,1,0,0,1,0,0
hike_568,0,0,1,0,0,1,0,0,1
hike_569,0,0,1,1,0,1,0,0,0
hike_571,0,0,0,0,0,1,1,0,1
hike_572,0,1,1,0,0,0,0,0,1
hike_586,0,0,0,0,0,0,0,0,0
hike_561,0,1,0,0,1,1,0,0,0
hike_1047,0,0,0,1,0,1,1,0,0
hike_575,1,0,1,0,0,0,0,0,1
hike_576,0,1,0,0,1,0,0,0,1
hike_577,0,1,1,0,0,0,0,0,1
hike_578,0,0,0,0,1,0,0,1,1
hike_579,0,0,1,0,1,1,0,0,0
hike_580,1,1,0,0,0,1,0,0,0
hike_581,0,0,0,0,0,1,1,1,0
hike_583,0,1,1,0,0,0,1,0,0
hike_584,1,0,1,1,0,0,0,0,0
hike_585,0,1,0,0,0,0,1,0,1
hike_574,0,0,0,1,1,1,0,0,0
hike_1048,0,0,1,1,0,0,1,0,0
hike_591,0,0,1,1,0,0,0,0,1
hike_592,0,0,0,1,0,0,1,0,1
hike_593,0,1,1,0,0,1,0,0,0
hike_594,0,1,1,1,0,0,0,0,0
hike_595,0,1,0,1,0,0,0,0,1
hike_596,0,0,0,0,1,1,0,0,1
hike_597,0,1,0,1,0,0,1,0,0
hike_598,0,1,0,0,1,0,1,0,0
hike_600,0,0,1,0,1,1,0,0,0
hike_601,0,0,1,0,1,0,0,1,0
hike_657,1,0,1,0,0,0,0,0,1
hike_590,0,1,0,1,0,0,1,0,0
hike_1049,0,1,0,1,0,1,0,0,0
hike_1201,0,1,1,0,1,0,0,0,0
hike_604,1,1,0,1,0,0,0,0,0
hike_605,0,1,1,0,0,1,0,0,0
hike_606,1,0,1,0,0,0,0,0,1
hike_607,0,0,1,1,0,0,0,0,1
hike_610,0,1,1,0,0,1,0,0,0
hike_611,0,0,1,1,0,0,0,0,1
hike_612,0,0,1,1,0,0,0,0,1
hike_613,0,1,1,1,0,0,0,0,0
hike_614,0,1,0,0,1,1,0,0,0
hike_608,0,1,1,0,0,0,0,0,1
